timestamp,x,y,pressure,dot_type,tilt_x,tilt_y,section,owner,note,page
1697207962924,-1,-1,0,PEN_DOWN,0,0,-1,-1,-1,-1
1697207962950,15.48,46.42,154,PEN_MOVE,109,126,3,27,746,1
1697207962984,15.51,46.41,258,PEN_MOVE,109,138,3,27,746,1
1697207963007,15.54,46.41,317,PEN_MOVE,108,138,3,27,746,1
1697207963042,15.57,46.41,388,PEN_MOVE,110,138,3,27,746,1
1697207963111,15.59,46.45,441,PEN_MOVE,109,128,3,27,746,1
1697207963123,15.6,46.49,444,PEN_MOVE,110,128,3,27,746,1
1697207963135,15.61,46.56,444,PEN_MOVE,111,128,3,27,746,1
1697207963146,15.62,46.65,443,PEN_MOVE,112,128,3,27,746,1
1697207963158,15.62,46.74,442,PEN_MOVE,113,139,3,27,746,1
1697207963169,15.62,46.83,440,PEN_MOVE,110,127,3,27,746,1
1697207963181,15.63,46.91,436,PEN_MOVE,108,128,3,27,746,1
1697207963192,15.63,46.98,433,PEN_MOVE,110,129,3,27,746,1
1697207963204,15.63,47.06,432,PEN_MOVE,108,138,3,27,746,1
1697207963215,15.64,47.17,430,PEN_MOVE,110,129,3,27,746,1
1697207963227,15.64,47.24,430,PEN_MOVE,107,138,3,27,746,1
1697207963238,15.65,47.34,430,PEN_MOVE,109,128,3,27,746,1
1697207963250,15.65,47.43,429,PEN_MOVE,110,126,3,27,746,1
1697207963261,15.66,47.52,428,PEN_MOVE,108,126,3,27,746,1
1697207963273,15.66,47.59,427,PEN_MOVE,109,128,3,27,746,1
1697207963284,15.66,47.65,426,PEN_MOVE,108,126,3,27,746,1
1697207963296,15.66,47.7,425,PEN_MOVE,109,125,3,27,746,1
1697207963308,15.67,47.78,423,PEN_MOVE,106,124,3,27,746,1
1697207963319,15.68,47.85,423,PEN_MOVE,106,124,3,27,746,1
1697207963331,15.68,47.9,423,PEN_MOVE,107,125,3,27,746,1
1697207963343,15.68,47.94,424,PEN_MOVE,107,125,3,27,746,1
1697207963354,15.68,47.97,424,PEN_MOVE,107,127,3,27,746,1
1697207963366,15.69,48.01,424,PEN_MOVE,107,126,3,27,746,1
1697207963377,15.69,48.04,425,PEN_MOVE,107,126,3,27,746,1
1697207963388,15.69,48.07,424,PEN_MOVE,108,126,3,27,746,1
1697207963400,15.69,48.12,423,PEN_MOVE,106,128,3,27,746,1
1697207963412,15.69,48.17,423,PEN_MOVE,107,126,3,27,746,1
