timestamp,x,y,pressure,dot_type,tilt_x,tilt_y,section,owner,note,page
1697208609095,-1,-1,0,PEN_DOWN,0,0,-1,-1,-1,-1
1697208609118,9.96,16.39,198,PEN_MOVE,105,66,3,27,746,2
1697208609152,9.99,16.4,210,PEN_MOVE,105,65,3,27,746,2
1697208609164,10.0,16.4,207,PEN_MOVE,105,65,3,27,746,2
1697208609222,10.03,16.39,258,PEN_MOVE,105,65,3,27,746,2
1697208609268,10.04,16.45,285,PEN_MOVE,105,66,3,27,746,2
1697208609280,10.05,16.54,303,PEN_MOVE,104,65,3,27,746,2
1697208609291,10.06,16.67,301,PEN_MOVE,104,68,3,27,746,2
1697208609303,10.08,16.9,300,PEN_MOVE,105,67,3,27,746,2
1697208609315,10.09,17.11,300,PEN_MOVE,105,68,3,27,746,2
1697208609326,10.12,17.36,298,PEN_MOVE,103,69,3,27,746,2
1697208609338,10.14,17.57,296,PEN_MOVE,103,70,3,27,746,2
1697208609349,10.16,17.73,294,PEN_MOVE,104,69,3,27,746,2
1697208609361,10.19,17.84,293,PEN_MOVE,103,67,3,27,746,2
1697208609372,10.22,17.95,293,PEN_MOVE,105,69,3,27,746,2
1697208609384,10.24,18.0,292,PEN_MOVE,104,70,3,27,746,2
1697208609406,10.28,18.02,286,PEN_MOVE,104,69,3,27,746,2
1697208609441,10.31,18.02,252,PEN_MOVE,104,70,3,27,746,2
1697208609465,10.38,17.9,254,PEN_MOVE,104,71,3,27,746,2
1697208609476,10.48,17.64,251,PEN_MOVE,104,68,3,27,746,2
1697208609488,10.58,17.39,245,PEN_MOVE,104,70,3,27,746,2
1697208609499,10.66,17.17,246,PEN_MOVE,104,68,3,27,746,2
1697208609511,10.72,17.0,245,PEN_MOVE,104,69,3,27,746,2
1697208609522,10.77,16.88,247,PEN_MOVE,104,66,3,27,746,2
1697208609534,10.8,16.81,248,PEN_MOVE,104,67,3,27,746,2
1697208609546,10.83,16.77,246,PEN_MOVE,103,68,3,27,746,2
