local_ts,local_ts_ms,timestamp,x,y,pressure,dot_type,tilt_x,tilt_y,section,owner,note,page
2026-05-12T13:48:09.660000+00:00,1778593689660,1698873517189,-1,-1,0,PEN_DOWN,0,0,-1,-1,-1,-1
2026-05-12T13:48:09.661000+00:00,1778593689661,1698873517213,12.21,10.84,203,PEN_MOVE,110,123,3,27,746,6
2026-05-12T13:48:09.675000+00:00,1778593689675,1698873517224,12.23,10.81,319,PEN_MOVE,109,122,3,27,746,6
2026-05-12T13:48:09.734000+00:00,1778593689734,1698873517271,12.26,10.8,380,PEN_MOVE,109,122,3,27,746,6
2026-05-12T13:48:09.749000+00:00,1778593689749,1698873517305,12.29,10.87,364,PEN_MOVE,108,122,3,27,746,6
2026-05-12T13:48:09.765000+00:00,1778593689765,1698873517316,12.33,11.03,361,PEN_MOVE,119,121,3,27,746,6
2026-05-12T13:48:09.779000+00:00,1778593689779,1698873517328,12.4,11.24,358,PEN_MOVE,109,119,3,27,746,6
2026-05-12T13:48:09.794000+00:00,1778593689794,1698873517340,12.45,11.41,356,PEN_MOVE,120,117,3,27,746,6
2026-05-12T13:48:09.795000+00:00,1778593689795,1698873517351,12.49,11.54,353,PEN_MOVE,108,116,3,27,746,6
2026-05-12T13:48:09.809000+00:00,1778593689809,1698873517363,12.54,11.73,354,PEN_MOVE,120,117,3,27,746,6
2026-05-12T13:48:09.825000+00:00,1778593689825,1698873517375,12.58,11.92,353,PEN_MOVE,118,117,3,27,746,6
2026-05-12T13:48:09.840000+00:00,1778593689840,1698873517386,12.64,12.09,351,PEN_MOVE,119,115,3,27,746,6
2026-05-12T13:48:09.840000+00:00,1778593689840,1698873517397,12.68,12.26,351,PEN_MOVE,118,115,3,27,746,6
2026-05-12T13:48:09.855000+00:00,1778593689855,1698873517409,12.72,12.36,352,PEN_MOVE,120,115,3,27,746,6
2026-05-12T13:48:09.870000+00:00,1778593689870,1698873517421,12.77,12.45,352,PEN_MOVE,119,114,3,27,746,6
2026-05-12T13:48:09.884000+00:00,1778593689884,1698873517432,12.81,12.53,352,PEN_MOVE,119,114,3,27,746,6
2026-05-12T13:48:09.899000+00:00,1778593689899,1698873517444,12.84,12.62,351,PEN_MOVE,109,114,3,27,746,6
2026-05-12T13:48:09.900000+00:00,1778593689900,1698873517455,12.87,12.73,351,PEN_MOVE,110,114,3,27,746,6
2026-05-12T13:48:09.914000+00:00,1778593689914,1698873517467,12.9,12.83,350,PEN_MOVE,118,115,3,27,746,6
2026-05-12T13:48:09.929000+00:00,1778593689929,1698873517478,12.91,12.91,350,PEN_MOVE,118,116,3,27,746,6
2026-05-12T13:48:09.944000+00:00,1778593689944,1698873517490,12.93,12.96,348,PEN_MOVE,118,115,3,27,746,6
2026-05-12T13:48:09.959000+00:00,1778593689959,1698873517513,12.95,12.99,350,PEN_MOVE,118,115,3,27,746,6
2026-05-12T13:48:10.004000+00:00,1778593690004,1698873517559,12.97,12.95,371,PEN_MOVE,120,114,3,27,746,6
2026-05-12T13:48:10.019000+00:00,1778593690019,1698873517571,12.98,12.92,368,PEN_MOVE,110,114,3,27,746,6
2026-05-12T13:48:10.034000+00:00,1778593690034,1698873517582,12.99,12.86,366,PEN_MOVE,119,114,3,27,746,6
2026-05-12T13:48:10.050000+00:00,1778593690050,1698873517594,13.0,12.76,364,PEN_MOVE,108,112,3,27,746,6
2026-05-12T13:48:10.050000+00:00,1778593690050,1698873517606,13.03,12.59,364,PEN_MOVE,120,113,3,27,746,6
2026-05-12T13:48:10.064000+00:00,1778593690064,1698873517617,13.05,12.45,364,PEN_MOVE,108,114,3,27,746,6
2026-05-12T13:48:10.079000+00:00,1778593690079,1698873517628,13.07,12.25,363,PEN_MOVE,109,115,3,27,746,6
2026-05-12T13:48:10.095000+00:00,1778593690095,1698873517640,13.1,12.05,362,PEN_MOVE,119,115,3,27,746,6
2026-05-12T13:48:10.095000+00:00,1778593690095,1698873517652,13.13,11.92,361,PEN_MOVE,119,114,3,27,746,6
2026-05-12T13:48:10.109000+00:00,1778593690109,1698873517663,13.13,11.84,361,PEN_MOVE,108,113,3,27,746,6
2026-05-12T13:48:10.125000+00:00,1778593690125,1698873517675,13.14,11.76,361,PEN_MOVE,109,114,3,27,746,6
2026-05-12T13:48:10.140000+00:00,1778593690140,1698873517686,13.15,11.73,362,PEN_MOVE,109,114,3,27,746,6
2026-05-12T13:48:10.154000+00:00,1778593690154,1698873517709,13.17,11.77,372,PEN_MOVE,119,114,3,27,746,6
2026-05-12T13:48:10.170000+00:00,1778593690170,1698873517721,13.18,11.92,376,PEN_MOVE,120,116,3,27,746,6
2026-05-12T13:48:10.184000+00:00,1778593690184,1698873517732,13.21,12.12,378,PEN_MOVE,108,114,3,27,746,6
2026-05-12T13:48:10.199000+00:00,1778593690199,1698873517744,13.26,12.34,379,PEN_MOVE,108,110,3,27,746,6
2026-05-12T13:48:10.199000+00:00,1778593690199,1698873517756,13.32,12.51,379,PEN_MOVE,109,110,3,27,746,6
2026-05-12T13:48:10.214000+00:00,1778593690214,1698873517767,13.37,12.63,378,PEN_MOVE,118,111,3,27,746,6
2026-05-12T13:48:10.229000+00:00,1778593690229,1698873517779,13.43,12.74,378,PEN_MOVE,111,112,3,27,746,6
2026-05-12T13:48:10.244000+00:00,1778593690244,1698873517790,13.47,12.83,378,PEN_MOVE,110,113,3,27,746,6
2026-05-12T13:48:10.244000+00:00,1778593690244,1698873517802,13.5,12.88,379,PEN_MOVE,118,113,3,27,746,6
2026-05-12T13:48:10.259000+00:00,1778593690259,1698873517813,13.54,12.91,380,PEN_MOVE,108,113,3,27,746,6
2026-05-12T13:48:10.288000+00:00,1778593690288,1698873517825,13.57,12.92,378,PEN_MOVE,108,113,3,27,746,6
2026-05-12T13:48:10.289000+00:00,1778593690289,1698873517848,13.62,12.91,370,PEN_MOVE,110,112,3,27,746,6
2026-05-12T13:48:10.318000+00:00,1778593690318,1698873517871,13.67,12.84,373,PEN_MOVE,120,111,3,27,746,6
2026-05-12T13:48:10.334000+00:00,1778593690334,1698873517883,13.71,12.66,377,PEN_MOVE,109,110,3,27,746,6
2026-05-12T13:48:10.349000+00:00,1778593690349,1698873517894,13.75,12.45,390,PEN_MOVE,108,110,3,27,746,6
2026-05-12T13:48:10.349000+00:00,1778593690349,1698873517906,13.79,12.18,395,PEN_MOVE,120,111,3,27,746,6
2026-05-12T13:48:10.364000+00:00,1778593690364,1698873517917,13.82,11.91,394,PEN_MOVE,109,111,3,27,746,6
2026-05-12T13:48:10.379000+00:00,1778593690379,1698873517929,13.85,11.66,394,PEN_MOVE,109,109,3,27,746,6
2026-05-12T13:48:10.394000+00:00,1778593690394,1698873517941,13.86,11.47,397,PEN_MOVE,109,112,3,27,746,6
2026-05-12T13:48:10.394000+00:00,1778593690394,1698873517952,13.87,11.26,395,PEN_MOVE,109,111,3,27,746,6
2026-05-12T13:48:10.409000+00:00,1778593690409,1698873517963,13.88,11.12,397,PEN_MOVE,120,113,3,27,746,6
2026-05-12T13:48:10.424000+00:00,1778593690424,1698873517975,13.89,11.04,396,PEN_MOVE,109,112,3,27,746,6
2026-05-12T13:48:10.440000+00:00,1778593690440,1698873517987,13.89,10.98,394,PEN_MOVE,108,112,3,27,746,6
2026-05-12T13:48:10.469000+00:00,1778593690469,1698873518009,13.89,10.95,380,PEN_MOVE,120,112,3,27,746,6
2026-05-12T13:48:10.484000+00:00,1778593690484,1698873518033,13.89,10.97,159,PEN_MOVE,109,112,3,27,746,6
2026-05-12T13:48:10.500000+00:00,1778593690500,1698873518044,13.89,11.05,7,PEN_MOVE,111,111,3,27,746,6
2026-05-12T13:48:10.500000+00:00,1778593690500,1698873518044,13.89,11.05,7,PEN_UP,111,111,3,27,746,6
2026-05-12T13:48:10.694000+00:00,1778593690694,1698873518249,-1,-1,0,PEN_DOWN,0,0,3,27,746,6
2026-05-12T13:48:10.694000+00:00,1778593690694,1698873518272,14.17,12.05,238,PEN_MOVE,108,111,3,27,746,6
2026-05-12T13:48:10.724000+00:00,1778593690724,1698873518295,14.2,12.06,320,PEN_MOVE,109,111,3,27,746,6
2026-05-12T13:48:10.740000+00:00,1778593690740,1698873518318,14.25,12.13,342,PEN_MOVE,118,112,3,27,746,6
2026-05-12T13:48:10.755000+00:00,1778593690755,1698873518329,14.27,12.3,340,PEN_MOVE,120,112,3,27,746,6
2026-05-12T13:48:10.770000+00:00,1778593690770,1698873518341,14.28,12.56,338,PEN_MOVE,119,110,3,27,746,6
2026-05-12T13:48:10.785000+00:00,1778593690785,1698873518353,14.28,12.75,334,PEN_MOVE,120,108,3,27,746,6
2026-05-12T13:48:10.785000+00:00,1778593690785,1698873518364,14.28,12.87,329,PEN_MOVE,108,109,3,27,746,6
2026-05-12T13:48:10.800000+00:00,1778593690800,1698873518376,14.28,12.94,319,PEN_MOVE,120,110,3,27,746,6
2026-05-12T13:48:10.829000+00:00,1778593690829,1698873518399,14.28,12.95,137,PEN_MOVE,109,109,3,27,746,6
2026-05-12T13:48:10.830000+00:00,1778593690830,1698873518410,14.26,12.88,1,PEN_MOVE,109,108,3,27,746,6
2026-05-12T13:48:10.830000+00:00,1778593690830,1698873518410,14.26,12.88,1,PEN_UP,109,108,3,27,746,6
2026-05-12T13:48:10.948000+00:00,1778593690948,1698873518496,-1,-1,0,PEN_DOWN,0,0,3,27,746,6
2026-05-12T13:48:10.949000+00:00,1778593690949,1698873518519,14.29,10.8,308,PEN_MOVE,109,115,3,27,746,6
2026-05-12T13:48:10.979000+00:00,1778593690979,1698873518553,14.32,10.82,293,PEN_MOVE,110,114,3,27,746,6
2026-05-12T13:48:10.994000+00:00,1778593690994,1698873518565,14.36,10.9,137,PEN_MOVE,109,112,3,27,746,6
2026-05-12T13:48:10.995000+00:00,1778593690995,1698873518565,14.36,10.9,137,PEN_UP,109,112,3,27,746,6
2026-05-12T13:48:11.174000+00:00,1778593691174,1698873518727,-1,-1,0,PEN_DOWN,0,0,3,27,746,6
2026-05-12T13:48:11.174000+00:00,1778593691174,1698873518750,14.88,12.14,241,PEN_MOVE,112,108,3,27,746,6
2026-05-12T13:48:11.204000+00:00,1778593691204,1698873518785,14.9,12.23,352,PEN_MOVE,119,110,3,27,746,6
2026-05-12T13:48:11.220000+00:00,1778593691220,1698873518796,14.92,12.48,362,PEN_MOVE,120,108,3,27,746,6
2026-05-12T13:48:11.235000+00:00,1778593691235,1698873518807,14.93,12.77,361,PEN_MOVE,109,110,3,27,746,6
2026-05-12T13:48:11.250000+00:00,1778593691250,1698873518819,14.93,13.06,353,PEN_MOVE,109,110,3,27,746,6
2026-05-12T13:48:11.251000+00:00,1778593691251,1698873518831,14.92,13.33,351,PEN_MOVE,109,109,3,27,746,6
2026-05-12T13:48:11.265000+00:00,1778593691265,1698873518842,14.91,13.53,349,PEN_MOVE,108,109,3,27,746,6
2026-05-12T13:48:11.279000+00:00,1778593691279,1698873518854,14.9,13.66,350,PEN_MOVE,108,109,3,27,746,6
2026-05-12T13:48:11.294000+00:00,1778593691294,1698873518865,14.88,13.75,351,PEN_MOVE,109,109,3,27,746,6
2026-05-12T13:48:11.309000+00:00,1778593691309,1698873518877,14.87,13.78,356,PEN_MOVE,108,109,3,27,746,6
2026-05-12T13:48:11.339000+00:00,1778593691339,1698873518900,14.84,13.79,419,PEN_MOVE,109,109,3,27,746,6
2026-05-12T13:48:11.340000+00:00,1778593691340,1698873518911,14.81,13.77,409,PEN_MOVE,110,109,3,27,746,6
2026-05-12T13:48:11.355000+00:00,1778593691355,1698873518923,14.77,13.69,399,PEN_MOVE,109,107,3,27,746,6
2026-05-12T13:48:11.355000+00:00,1778593691355,1698873518935,14.72,13.48,395,PEN_MOVE,110,107,3,27,746,6
2026-05-12T13:48:11.370000+00:00,1778593691370,1698873518946,14.69,13.14,387,PEN_MOVE,112,109,3,27,746,6
2026-05-12T13:48:11.384000+00:00,1778593691384,1698873518958,14.67,12.83,383,PEN_MOVE,111,110,3,27,746,6
2026-05-12T13:48:11.400000+00:00,1778593691400,1698873518969,14.68,12.48,376,PEN_MOVE,112,111,3,27,746,6
2026-05-12T13:48:11.400000+00:00,1778593691400,1698873518981,14.72,12.26,366,PEN_MOVE,109,109,3,27,746,6
2026-05-12T13:48:11.414000+00:00,1778593691414,1698873518992,14.78,12.13,364,PEN_MOVE,110,110,3,27,746,6
2026-05-12T13:48:11.429000+00:00,1778593691429,1698873519004,14.88,12.07,365,PEN_MOVE,110,110,3,27,746,6
2026-05-12T13:48:11.444000+00:00,1778593691444,1698873519015,15.01,12.06,369,PEN_MOVE,109,110,3,27,746,6
2026-05-12T13:48:11.460000+00:00,1778593691460,1698873519027,15.17,12.09,373,PEN_MOVE,120,110,3,27,746,6
2026-05-12T13:48:11.460000+00:00,1778593691460,1698873519039,15.27,12.18,384,PEN_MOVE,108,109,3,27,746,6
2026-05-12T13:48:11.475000+00:00,1778593691475,1698873519050,15.38,12.36,391,PEN_MOVE,120,106,3,27,746,6
2026-05-12T13:48:11.489000+00:00,1778593691489,1698873519062,15.43,12.54,393,PEN_MOVE,108,107,3,27,746,6
2026-05-12T13:48:11.505000+00:00,1778593691505,1698873519073,15.45,12.72,393,PEN_MOVE,108,109,3,27,746,6
2026-05-12T13:48:11.505000+00:00,1778593691505,1698873519085,15.46,12.86,394,PEN_MOVE,111,109,3,27,746,6
2026-05-12T13:48:11.519000+00:00,1778593691519,1698873519096,15.45,12.97,393,PEN_MOVE,120,109,3,27,746,6
2026-05-12T13:48:11.534000+00:00,1778593691534,1698873519108,15.42,13.05,393,PEN_MOVE,119,110,3,27,746,6
2026-05-12T13:48:11.550000+00:00,1778593691550,1698873519120,15.39,13.09,388,PEN_MOVE,118,110,3,27,746,6
2026-05-12T13:48:11.550000+00:00,1778593691550,1698873519131,15.36,13.11,361,PEN_MOVE,118,108,3,27,746,6
2026-05-12T13:48:11.564000+00:00,1778593691564,1698873519142,15.31,13.11,228,PEN_MOVE,120,109,3,27,746,6
2026-05-12T13:48:11.579000+00:00,1778593691579,1698873519154,15.25,13.09,85,PEN_MOVE,118,109,3,27,746,6
2026-05-12T13:48:11.579000+00:00,1778593691579,1698873519154,15.25,13.09,85,PEN_UP,118,109,3,27,746,6
2026-05-12T13:48:11.804000+00:00,1778593691804,1698873519349,-1,-1,0,PEN_DOWN,0,0,3,27,746,6
2026-05-12T13:48:11.805000+00:00,1778593691805,1698873519372,16.6,12.07,193,PEN_MOVE,111,103,3,27,746,6
2026-05-12T13:48:11.849000+00:00,1778593691849,1698873519418,16.57,12.05,295,PEN_MOVE,112,103,3,27,746,6
2026-05-12T13:48:11.850000+00:00,1778593691850,1698873519430,16.52,12.02,287,PEN_MOVE,111,104,3,27,746,6
2026-05-12T13:48:11.865000+00:00,1778593691865,1698873519441,16.4,11.99,280,PEN_MOVE,110,105,3,27,746,6
2026-05-12T13:48:11.879000+00:00,1778593691879,1698873519453,16.23,11.96,276,PEN_MOVE,112,106,3,27,746,6
2026-05-12T13:48:11.895000+00:00,1778593691895,1698873519464,16.02,11.93,266,PEN_MOVE,112,108,3,27,746,6
2026-05-12T13:48:11.895000+00:00,1778593691895,1698873519476,15.82,11.92,265,PEN_MOVE,115,109,3,27,746,6
2026-05-12T13:48:11.910000+00:00,1778593691910,1698873519487,15.68,11.94,265,PEN_MOVE,115,110,3,27,746,6
2026-05-12T13:48:11.925000+00:00,1778593691925,1698873519499,15.62,11.98,260,PEN_MOVE,115,110,3,27,746,6
2026-05-12T13:48:11.954000+00:00,1778593691954,1698873519511,15.62,12.04,253,PEN_MOVE,110,109,3,27,746,6
2026-05-12T13:48:11.954000+00:00,1778593691954,1698873519522,15.64,12.13,254,PEN_MOVE,111,109,3,27,746,6
2026-05-12T13:48:11.955000+00:00,1778593691955,1698873519533,15.75,12.22,253,PEN_MOVE,110,108,3,27,746,6
2026-05-12T13:48:11.970000+00:00,1778593691970,1698873519545,15.92,12.27,255,PEN_MOVE,109,108,3,27,746,6
2026-05-12T13:48:11.984000+00:00,1778593691984,1698873519557,16.07,12.32,261,PEN_MOVE,112,106,3,27,746,6
2026-05-12T13:48:12+00:00,1778593692000,1698873519568,16.21,12.39,265,PEN_MOVE,109,106,3,27,746,6
2026-05-12T13:48:12+00:00,1778593692000,1698873519580,16.32,12.48,269,PEN_MOVE,119,105,3,27,746,6
2026-05-12T13:48:12.014000+00:00,1778593692014,1698873519591,16.4,12.56,271,PEN_MOVE,119,105,3,27,746,6
2026-05-12T13:48:12.029000+00:00,1778593692029,1698873519603,16.46,12.66,275,PEN_MOVE,111,106,3,27,746,6
2026-05-12T13:48:12.045000+00:00,1778593692045,1698873519614,16.49,12.72,297,PEN_MOVE,111,107,3,27,746,6
2026-05-12T13:48:12.045000+00:00,1778593692045,1698873519626,16.49,12.77,328,PEN_MOVE,118,106,3,27,746,6
2026-05-12T13:48:12.059000+00:00,1778593692059,1698873519636,16.47,12.83,325,PEN_MOVE,118,107,3,27,746,6
2026-05-12T13:48:12.074000+00:00,1778593692074,1698873519649,16.4,12.9,316,PEN_MOVE,109,108,3,27,746,6
2026-05-12T13:48:12.089000+00:00,1778593692089,1698873519661,16.28,12.96,300,PEN_MOVE,111,109,3,27,746,6
2026-05-12T13:48:12.105000+00:00,1778593692105,1698873519672,16.13,13.0,293,PEN_MOVE,111,109,3,27,746,6
2026-05-12T13:48:12.105000+00:00,1778593692105,1698873519684,15.96,13.02,293,PEN_MOVE,111,109,3,27,746,6
2026-05-12T13:48:12.119000+00:00,1778593692119,1698873519695,15.8,13.02,289,PEN_MOVE,118,109,3,27,746,6
2026-05-12T13:48:12.134000+00:00,1778593692134,1698873519707,15.67,13.01,286,PEN_MOVE,118,110,3,27,746,6
2026-05-12T13:48:12.149000+00:00,1778593692149,1698873519718,15.56,12.99,236,PEN_MOVE,108,112,3,27,746,6
2026-05-12T13:48:12.150000+00:00,1778593692150,1698873519730,15.49,12.96,164,PEN_MOVE,120,110,3,27,746,6
2026-05-12T13:48:12.164000+00:00,1778593692164,1698873519741,15.46,12.94,13,PEN_MOVE,109,111,3,27,746,6
2026-05-12T13:48:12.165000+00:00,1778593692165,1698873519741,15.46,12.94,13,PEN_UP,109,111,3,27,746,6
2026-05-12T13:48:12.464000+00:00,1778593692464,1698873520018,-1,-1,0,PEN_DOWN,0,0,3,27,746,6
2026-05-12T13:48:12.465000+00:00,1778593692465,1698873520041,16.94,12.22,239,PEN_MOVE,115,107,3,27,746,6
2026-05-12T13:48:12.493000+00:00,1778593692493,1698873520064,16.95,12.27,292,PEN_MOVE,114,108,3,27,746,6
2026-05-12T13:48:12.494000+00:00,1778593692494,1698873520075,16.99,12.35,317,PEN_MOVE,114,106,3,27,746,6
2026-05-12T13:48:12.509000+00:00,1778593692509,1698873520087,17.07,12.53,325,PEN_MOVE,111,105,3,27,746,6
2026-05-12T13:48:12.524000+00:00,1778593692524,1698873520099,17.17,12.76,320,PEN_MOVE,113,107,3,27,746,6
2026-05-12T13:48:12.540000+00:00,1778593692540,1698873520110,17.28,12.99,316,PEN_MOVE,110,104,3,27,746,6
2026-05-12T13:48:12.555000+00:00,1778593692555,1698873520122,17.37,13.15,314,PEN_MOVE,109,104,3,27,746,6
2026-05-12T13:48:12.555000+00:00,1778593692555,1698873520134,17.44,13.23,311,PEN_MOVE,111,104,3,27,746,6
2026-05-12T13:48:12.570000+00:00,1778593692570,1698873520145,17.48,13.28,308,PEN_MOVE,112,103,3,27,746,6
2026-05-12T13:48:12.584000+00:00,1778593692584,1698873520156,17.51,13.29,301,PEN_MOVE,113,103,3,27,746,6
2026-05-12T13:48:12.613000+00:00,1778593692613,1698873520191,17.51,13.24,15,PEN_MOVE,113,101,3,27,746,6
2026-05-12T13:48:12.614000+00:00,1778593692614,1698873520191,17.51,13.24,15,PEN_UP,113,101,3,27,746,6
2026-05-12T13:48:12.748000+00:00,1778593692748,1698873520301,-1,-1,0,PEN_DOWN,0,0,3,27,746,6
2026-05-12T13:48:12.748000+00:00,1778593692748,1698873520324,18.05,12.11,214,PEN_MOVE,112,102,3,27,746,6
