timestamp,x,y,pressure,dot_type,tilt_x,tilt_y,section,owner,note,page
1697072450762,-1,-1,0,PEN_DOWN,0,0,-1,-1,-1,-1
1697072450788,20.17,43.14,218,PEN_MOVE,104,102,3,27,746,1
1697072450822,20.2,43.14,344,PEN_MOVE,104,104,3,27,746,1
1697072450869,20.23,43.14,400,PEN_MOVE,105,103,3,27,746,1
1697072450926,20.26,43.17,413,PEN_MOVE,105,100,3,27,746,1
1697072450949,20.27,43.2,421,PEN_MOVE,105,94,3,27,746,1
1697072450960,20.28,43.24,428,PEN_MOVE,105,99,3,27,746,1
1697072450972,20.29,43.28,426,PEN_MOVE,105,93,3,27,746,1
1697072450983,20.3,43.34,424,PEN_MOVE,103,100,3,27,746,1
1697072450995,20.31,43.41,419,PEN_MOVE,103,100,3,27,746,1
1697072451007,20.33,43.47,416,PEN_MOVE,107,94,3,27,746,1
1697072451019,20.33,43.52,414,PEN_MOVE,107,91,3,27,746,1
1697072451030,20.34,43.58,412,PEN_MOVE,107,93,3,27,746,1
1697072451042,20.35,43.63,411,PEN_MOVE,107,92,3,27,746,1
1697072451053,20.36,43.68,418,PEN_MOVE,106,92,3,27,746,1
1697072451065,20.36,43.72,420,PEN_MOVE,107,100,3,27,746,1
1697072451076,20.36,43.75,420,PEN_MOVE,107,93,3,27,746,1
1697072451099,20.37,43.8,418,PEN_MOVE,107,92,3,27,746,1
1697072451110,20.37,43.84,416,PEN_MOVE,107,100,3,27,746,1
1697072451122,20.37,43.88,414,PEN_MOVE,106,93,3,27,746,1
1697072451134,20.37,43.94,411,PEN_MOVE,106,94,3,27,746,1
1697072451146,20.37,44.0,410,PEN_MOVE,106,100,3,27,746,1
1697072451157,20.36,44.05,409,PEN_MOVE,106,94,3,27,746,1
1697072451168,20.36,44.1,409,PEN_MOVE,105,99,3,27,746,1
1697072451179,20.36,44.15,407,PEN_MOVE,107,93,3,27,746,1
1697072451192,20.35,44.2,407,PEN_MOVE,104,93,3,27,746,1
1697072451204,20.34,44.24,407,PEN_MOVE,103,94,3,27,746,1
1697072451215,20.32,44.27,408,PEN_MOVE,104,94,3,27,746,1
1697072451237,20.3,44.32,407,PEN_MOVE,104,93,3,27,746,1
1697072451249,20.29,44.36,407,PEN_MOVE,107,101,3,27,746,1
1697072451261,20.29,44.39,407,PEN_MOVE,107,94,3,27,746,1
1697072451284,20.29,44.43,408,PEN_MOVE,107,94,3,27,746,1
1697072451342,20.28,44.43,130,PEN_MOVE,106,102,3,27,746,1
1697072451363,-1,-1,0,PEN_UP,0,0,3,27,746,1
1697072454210,-1,-1,0,PEN_DOWN,0,0,3,27,746,1
1697072454233,21.77,41.71,163,PEN_MOVE,106,114,3,27,746,1
1697072454267,21.78,41.68,299,PEN_MOVE,106,114,3,27,746,1
1697072454325,21.81,41.69,370,PEN_MOVE,106,112,3,27,746,1
1697072454337,21.82,41.73,371,PEN_MOVE,105,112,3,27,746,1
1697072454348,21.83,41.83,374,PEN_MOVE,106,104,3,27,746,1
1697072454360,21.87,42.05,371,PEN_MOVE,104,102,3,27,746,1
1697072454370,21.91,42.25,369,PEN_MOVE,104,111,3,27,746,1
1697072454383,21.94,42.39,366,PEN_MOVE,103,103,3,27,746,1
1697072454395,21.96,42.53,373,PEN_MOVE,107,102,3,27,746,1
1697072454406,21.98,42.64,370,PEN_MOVE,107,102,3,27,746,1
1697072454418,22.0,42.77,369,PEN_MOVE,107,103,3,27,746,1
1697072454430,22.02,42.88,369,PEN_MOVE,106,102,3,27,746,1
1697072454440,22.02,42.98,369,PEN_MOVE,107,103,3,27,746,1
1697072454452,22.03,43.06,369,PEN_MOVE,106,103,3,27,746,1
1697072454464,22.04,43.14,368,PEN_MOVE,107,104,3,27,746,1
1697072454475,22.05,43.19,368,PEN_MOVE,106,102,3,27,746,1
1697072454486,22.06,43.23,368,PEN_MOVE,106,102,3,27,746,1
1697072454498,22.07,43.26,368,PEN_MOVE,106,102,3,27,746,1
1697072454521,22.07,43.29,366,PEN_MOVE,106,103,3,27,746,1
1697072454637,22.07,43.23,404,PEN_MOVE,105,103,3,27,746,1
1697072454648,22.06,43.14,399,PEN_MOVE,106,104,3,27,746,1
1697072454660,22.01,43.0,392,PEN_MOVE,107,103,3,27,746,1
1697072454672,21.94,42.86,388,PEN_MOVE,107,111,3,27,746,1
1697072454684,21.87,42.76,372,PEN_MOVE,107,111,3,27,746,1
1697072454695,21.81,42.65,365,PEN_MOVE,103,112,3,27,746,1
1697072454706,21.75,42.52,361,PEN_MOVE,107,112,3,27,746,1
1697072454718,21.69,42.4,358,PEN_MOVE,103,112,3,27,746,1
1697072454729,21.64,42.29,357,PEN_MOVE,105,111,3,27,746,1
1697072454741,21.61,42.18,356,PEN_MOVE,105,113,3,27,746,1
