local_ts,local_ts_ms,timestamp,x,y,pressure,dot_type,tilt_x,tilt_y,section,owner,note,page
2026-05-01T09:12:19.688000+00:00,1777626739688,1697906559312,-1,-1,0,PEN_DOWN,0,0,-1,-1,-1,-1
2026-05-01T09:12:19.689000+00:00,1777626739689,1697906559335,16.82,61.89,238,PEN_MOVE,105,174,3,27,746,1
2026-05-01T09:12:19.689000+00:00,1777626739689,1697906559346,16.83,61.86,344,PEN_MOVE,106,173,3,27,746,1
2026-05-01T09:12:19.718000+00:00,1777626739718,1697906559393,16.86,61.85,494,PEN_MOVE,105,159,3,27,746,1
2026-05-01T09:12:19.748000+00:00,1777626739748,1697906559404,16.87,61.88,521,PEN_MOVE,107,158,3,27,746,1
2026-05-01T09:12:19.749000+00:00,1777626739749,1697906559416,16.89,62.01,528,PEN_MOVE,105,157,3,27,746,1
2026-05-01T09:12:19.750000+00:00,1777626739750,1697906559427,16.92,62.28,534,PEN_MOVE,105,158,3,27,746,1
2026-05-01T09:12:19.778000+00:00,1777626739778,1697906559439,16.94,62.56,530,PEN_MOVE,108,159,3,27,746,1
2026-05-01T09:12:19.779000+00:00,1777626739779,1697906559450,16.95,62.8,526,PEN_MOVE,108,173,3,27,746,1
2026-05-01T09:12:19.838000+00:00,1777626739838,1697906559462,16.96,63.04,522,PEN_MOVE,108,174,3,27,746,1
2026-05-01T09:12:19.839000+00:00,1777626739839,1697906559473,16.98,63.2,520,PEN_MOVE,106,174,3,27,746,1
2026-05-01T09:12:19.840000+00:00,1777626739840,1697906559484,16.99,63.32,517,PEN_MOVE,109,176,3,27,746,1
2026-05-01T09:12:19.870000+00:00,1777626739870,1697906559496,17.0,63.42,517,PEN_MOVE,108,175,3,27,746,1
2026-05-01T09:12:19.871000+00:00,1777626739871,1697906559508,17.01,63.5,517,PEN_MOVE,109,173,3,27,746,1
2026-05-01T09:12:19.871000+00:00,1777626739871,1697906559520,17.02,63.53,516,PEN_MOVE,111,173,3,27,746,1
2026-05-01T09:12:19.871000+00:00,1777626739871,1697906559531,17.02,63.56,515,PEN_MOVE,106,173,3,27,746,1
2026-05-01T09:12:19.898000+00:00,1777626739898,1697906559554,17.02,63.6,511,PEN_MOVE,108,173,3,27,746,1
2026-05-01T09:12:19.899000+00:00,1777626739899,1697906559566,17.02,63.63,508,PEN_MOVE,107,174,3,27,746,1
2026-05-01T09:12:19.899000+00:00,1777626739899,1697906559578,17.02,63.66,496,PEN_MOVE,106,173,3,27,746,1
2026-05-01T09:12:19.958000+00:00,1777626739958,1697906559600,17.02,63.69,280,PEN_MOVE,105,174,3,27,746,1
2026-05-01T09:12:19.959000+00:00,1777626739959,1697906559623,16.96,63.66,1,PEN_MOVE,107,175,3,27,746,1
2026-05-01T09:12:19.961000+00:00,1777626739961,1697906559650,-1,-1,0,PEN_UP,0,0,3,27,746,1
2026-05-01T09:12:20.139000+00:00,1777626740139,1697906559766,-1,-1,0,PEN_DOWN,0,0,3,27,746,1
