timestamp,x,y,pressure,dot_type,tilt_x,tilt_y,section,owner,note,page
1697209100473,-1,-1,0,PEN_DOWN,0,0,-1,-1,-1,-1
1697209100496,10.04,54.42,205,PEN_MOVE,103,79,3,27,746,2
1697209100554,10.07,54.41,250,PEN_MOVE,104,78,3,27,746,2
1697209100577,10.09,54.56,327,PEN_MOVE,103,79,3,27,746,2
1697209100588,10.1,54.93,339,PEN_MOVE,103,76,3,27,746,2
1697209100600,10.1,55.33,353,PEN_MOVE,102,80,3,27,746,2
1697209100611,10.1,55.76,349,PEN_MOVE,104,80,3,27,746,2
1697209100623,10.11,55.96,342,PEN_MOVE,104,83,3,27,746,2
1697209100634,10.13,56.04,334,PEN_MOVE,103,84,3,27,746,2
1697209100646,10.18,56.06,280,PEN_MOVE,104,84,3,27,746,2
1697209100657,10.25,56.01,266,PEN_MOVE,103,80,3,27,746,2
1697209100669,10.35,55.73,242,PEN_MOVE,103,80,3,27,746,2
1697209100681,10.46,55.37,234,PEN_MOVE,101,79,3,27,746,2
1697209100693,10.56,55.12,220,PEN_MOVE,102,76,3,27,746,2
1697209100704,10.62,55.17,223,PEN_MOVE,102,79,3,27,746,2
1697209100716,10.67,55.36,229,PEN_MOVE,102,77,3,27,746,2
1697209100728,10.72,55.64,272,PEN_MOVE,103,77,3,27,746,2
1697209100739,10.75,55.84,283,PEN_MOVE,103,79,3,27,746,2
1697209100751,10.79,55.97,296,PEN_MOVE,102,78,3,27,746,2
1697209100762,10.83,55.99,295,PEN_MOVE,102,79,3,27,746,2
1697209100774,10.88,55.91,336,PEN_MOVE,103,81,3,27,746,2
1697209100786,10.96,55.56,324,PEN_MOVE,103,82,3,27,746,2
1697209100796,11.03,55.19,236,PEN_MOVE,103,79,3,27,746,2
1697209100808,11.06,54.96,66,PEN_MOVE,103,78,3,27,746,2
1697209100837,-1,-1,0,PEN_UP,0,0,3,27,746,2
1697209101016,-1,-1,0,PEN_DOWN,0,0,3,27,746,2
1697209101039,11.45,55.46,312,PEN_MOVE,103,79,3,27,746,2
1697209101050,11.48,55.49,303,PEN_MOVE,104,78,3,27,746,2
1697209101062,11.56,55.54,311,PEN_MOVE,103,80,3,27,746,2
1697209101074,11.69,55.55,309,PEN_MOVE,102,81,3,27,746,2
1697209101085,11.83,55.53,282,PEN_MOVE,102,78,3,27,746,2
1697209101096,11.93,55.46,234,PEN_MOVE,102,81,3,27,746,2
1697209101107,11.96,55.35,219,PEN_MOVE,102,83,3,27,746,2
1697209101120,11.94,55.24,228,PEN_MOVE,102,79,3,27,746,2
1697209101131,11.9,55.18,273,PEN_MOVE,102,80,3,27,746,2
1697209101143,11.8,55.16,318,PEN_MOVE,103,79,3,27,746,2
1697209101154,11.71,55.18,376,PEN_MOVE,103,79,3,27,746,2
1697209101166,11.65,55.25,422,PEN_MOVE,104,80,3,27,746,2
1697209101177,11.6,55.46,414,PEN_MOVE,103,81,3,27,746,2
1697209101189,11.59,55.79,413,PEN_MOVE,104,78,3,27,746,2
1697209101201,11.59,56.03,410,PEN_MOVE,104,79,3,27,746,2
1697209101212,11.61,56.16,403,PEN_MOVE,103,82,3,27,746,2
1697209101224,11.66,56.19,319,PEN_MOVE,103,82,3,27,746,2
1697209101235,11.78,56.14,156,PEN_MOVE,102,82,3,27,746,2
1697209101247,11.89,55.83,1,PEN_MOVE,102,82,3,27,746,2
1697209101272,-1,-1,0,PEN_UP,0,0,3,27,746,2
1697209101299,-1,-1,0,PEN_DOWN,0,0,3,27,746,2
1697209101322,12.35,55.45,310,PEN_MOVE,104,81,3,27,746,2
1697209101333,12.35,55.54,317,PEN_MOVE,101,81,3,27,746,2
1697209101345,12.36,55.76,322,PEN_MOVE,101,80,3,27,746,2
1697209101356,12.37,56.04,323,PEN_MOVE,101,81,3,27,746,2
1697209101368,12.4,56.17,312,PEN_MOVE,102,81,3,27,746,2
1697209101379,12.44,56.18,273,PEN_MOVE,102,81,3,27,746,2
1697209101391,12.52,56.09,285,PEN_MOVE,101,81,3,27,746,2
1697209101403,12.63,55.78,265,PEN_MOVE,101,83,3,27,746,2
1697209101414,12.72,55.48,138,PEN_MOVE,101,82,3,27,746,2
1697209101435,-1,-1,0,PEN_UP,0,0,3,27,746,2
1697209102735,-1,-1,0,PEN_DOWN,0,0,3,27,746,2
1697209102758,15.1,55.26,218,PEN_MOVE,104,78,3,27,746,2
1697209102769,15.11,55.32,219,PEN_MOVE,105,78,3,27,746,2
1697209102781,15.12,55.47,223,PEN_MOVE,104,80,3,27,746,2
1697209102792,15.14,55.75,238,PEN_MOVE,104,81,3,27,746,2
1697209102804,15.17,56.01,240,PEN_MOVE,104,78,3,27,746,2
1697209102815,15.22,56.12,232,PEN_MOVE,104,75,3,27,746,2
1697209102827,15.29,56.13,223,PEN_MOVE,105,77,3,27,746,2
1697209102838,15.36,56.04,171,PEN_MOVE,104,79,3,27,746,2
1697209102850,15.43,55.73,141,PEN_MOVE,104,81,3,27,746,2
1697209102862,15.49,55.5,148,PEN_MOVE,104,83,3,27,746,2
1697209102873,15.53,55.42,162,PEN_MOVE,104,78,3,27,746,2
1697209102885,15.56,55.43,197,PEN_MOVE,104,77,3,27,746,2
1697209102897,15.58,55.47,225,PEN_MOVE,105,81,3,27,746,2
1697209102907,15.6,55.6,254,PEN_MOVE,104,80,3,27,746,2
1697209102920,15.64,55.76,262,PEN_MOVE,105,79,3,27,746,2
1697209102931,15.69,55.84,263,PEN_MOVE,103,78,3,27,746,2
1697209102942,15.72,55.86,261,PEN_MOVE,104,78,3,27,746,2
1697209102954,15.76,55.84,251,PEN_MOVE,103,80,3,27,746,2
1697209102966,15.81,55.73,194,PEN_MOVE,103,80,3,27,746,2
1697209102977,15.88,55.47,1,PEN_MOVE,102,81,3,27,746,2
1697209103003,-1,-1,0,PEN_UP,0,0,3,27,746,2
1697209103052,-1,-1,0,PEN_DOWN,0,0,3,27,746,2
1697209103075,16.22,55.56,376,PEN_MOVE,103,83,3,27,746,2
1697209103086,16.21,55.67,370,PEN_MOVE,102,81,3,27,746,2
1697209103098,16.21,55.82,361,PEN_MOVE,103,80,3,27,746,2
1697209103109,16.23,55.93,331,PEN_MOVE,103,83,3,27,746,2
1697209103121,16.3,55.98,243,PEN_MOVE,103,83,3,27,746,2
1697209103132,16.44,55.95,183,PEN_MOVE,103,84,3,27,746,2
1697209103144,16.53,55.82,139,PEN_MOVE,103,83,3,27,746,2
